number,code,price,num_digits
1313,U,109000,4
3222,H,72000,4
30033,P,24000,5
7765,L,17500,4
8876,U,17500,4
1146,O,16500,4
2744,E,12900,4
22828,L,12900,5
5546,R,12900,4
2633,Q,12500,4
11189,Q,11900,5
6586,F,10900,4
40333,H,10900,5
6376,J,10900,4
40333,L,10900,5
40333,N,10900,5
40333,P,10900,5
45045,D,9900,5
41041,Q,9900,5
33342,I,9500,5
66640,J,9500,5
33367,O,7900,5
23200,T,7900,5
28080,P,7500,5
40540,L,6900,5
15451,O,6900,5
14541,U,6500,5
18481,Q,5900,5
21331,S,5900,5
33114,S,5900,5
34411,S,5900,5
44113,S,5900,5
51133,S,5900,5
55114,S,5900,5
55411,S,5900,5
66113,S,5900,5
66115,S,5900,5
66445,S,5900,5
76611,S,5900,5
88922,S,5900,5
90110,U,5900,5
44336,S,5500,5
44338,S,5500,5
51221,S,5500,5
54354,S,5500,5
66772,S,5500,5
66773,S,5500,5
50551,P,4900,5
89944,P,4900,5
14911,S,4900,5
51154,S,4900,5
60990,U,4900,5
90102,D,4500,5
65757,J,4500,5
11448,P,4500,5
55118,P,4500,5
14418,S,4500,5
31531,S,4500,5
39119,S,4500,5
41661,S,4500,5
71471,S,4500,5
83113,S,4500,5
30107,E,4000,5
49941,S,4000,5
65562,S,4000,5
65563,S,4000,5
22131,U,4000,5
31322,U,4000,5
40054,U,4000,5
34404,X,4000,5
46262,J,3900,5
85580,P,3900,5
31731,Q,3900,5
21191,E,3500,5
70905,F,3500,5
99040,L,3500,5
60105,P,3500,5
20232,T,3500,5
40433,U,3500,5
44043,U,3500,5
45044,U,3500,5
66303,U,3500,5
66505,U,3500,5
77606,U,3500,5
30131,X,3500,5
32201,X,3500,5
35505,X,3500,5
36606,X,3500,5
40141,X,3500,5
43040,X,3500,5
45040,X,3500,5
46606,X,3500,5
49909,X,3500,5
52202,X,3500,5
53303,X,3500,5
54050,X,3500,5
56050,X,3500,5
62129,X,3500,5
62202,X,3500,5
72202,X,3500,5
89118,X,3500,5
92126,X,3500,5
98119,X,3500,5
99789,X,3500,5
30409,J,3000,5
10904,K,3000,5
30107,K,3000,5
50109,K,3000,5
90401,K,3000,5
55141,O,3000,5
13353,P,3000,5
13363,P,3000,5
14474,P,3000,5
16646,P,3000,5
18848,P,3000,5
24233,P,3000,5
34322,P,3000,5
34355,P,3000,5
34414,P,3000,5
35311,P,3000,5
35344,P,3000,5
36311,P,3000,5
37311,P,3000,5
38311,P,3000,5
43422,P,3000,5
45433,P,3000,5
45466,P,3000,5
46455,P,3000,5
47411,P,3000,5
48411,P,3000,5
54533,P,3000,5
54566,P,3000,5
55141,P,3000,5
55414,P,3000,5
56544,P,3000,5
57566,P,3000,5
65644,P,3000,5
65677,P,3000,5
67611,P,3000,5
67655,P,3000,5
75766,P,3000,5
76755,P,3000,5
84811,P,3000,5
85811,P,3000,5
46656,Q,3000,5
30343,T,3000,5
33043,T,3000,5
40454,T,3000,5
43404,T,3000,5
44131,T,3000,5
55141,T,3000,5
66151,T,3000,5
67066,T,3000,5
11363,U,3000,5
11373,U,3000,5
11383,U,3000,5
11393,U,3000,5
11424,U,3000,5
11454,U,3000,5
11464,U,3000,5
11474,U,3000,5
11484,U,3000,5
11535,U,3000,5
11545,U,3000,5
11565,U,3000,5
11575,U,3000,5
11595,U,3000,5
11626,U,3000,5
11646,U,3000,5
11656,U,3000,5
11676,U,3000,5
11737,U,3000,5
11747,U,3000,5
11828,U,3000,5
11838,U,3000,5
11848,U,3000,5
11858,U,3000,5
11878,U,3000,5
11929,U,3000,5
11939,U,3000,5
11959,U,3000,5
13144,U,3000,5
14133,U,3000,5
15144,U,3000,5
15545,U,3000,5
16155,U,3000,5
16177,U,3000,5
16199,U,3000,5
16656,U,3000,5
16696,U,3000,5
17166,U,3000,5
18177,U,3000,5
22404,U,3000,5
22505,U,3000,5
22606,U,3000,5
22707,U,3000,5
23244,U,3000,5
24233,U,3000,5
24434,U,3000,5
25211,U,3000,5
26211,U,3000,5
28211,U,3000,5
30366,U,3000,5
31344,U,3000,5
32242,U,3000,5
32344,U,3000,5
33141,U,3000,5
33505,U,3000,5
33707,U,3000,5
33808,U,3000,5
33909,U,3000,5
34322,U,3000,5
34355,U,3000,5
34424,U,3000,5
34454,U,3000,5
35311,U,3000,5
35344,U,3000,5
36311,U,3000,5
37311,U,3000,5
38311,U,3000,5
39311,U,3000,5
40466,U,3000,5
40477,U,3000,5
40488,U,3000,5
41433,U,3000,5
41455,U,3000,5
42433,U,3000,5
43353,U,3000,5
43422,U,3000,5
43455,U,3000,5
44047,U,3000,5
44048,U,3000,5
44049,U,3000,5
44131,U,3000,5
44151,U,3000,5
44202,U,3000,5
44313,U,3000,5
44340,U,3000,5
44515,U,3000,5
44535,U,3000,5
44565,U,3000,5
44606,U,3000,5
44656,U,3000,5
44707,U,3000,5
44808,U,3000,5
44909,U,3000,5
45433,U,3000,5
45466,U,3000,5
45515,U,3000,5
45535,U,3000,5
46411,U,3000,5
46455,U,3000,5
46656,U,3000,5
48411,U,3000,5
49411,U,3000,5
51121,U,3000,5
51544,U,3000,5
53343,U,3000,5
53544,U,3000,5
54414,U,3000,5
54434,U,3000,5
54464,U,3000,5
54511,U,3000,5
54533,U,3000,5
55057,U,3000,5
55058,U,3000,5
55141,U,3000,5
55161,U,3000,5
55171,U,3000,5
55202,U,3000,5
55303,U,3000,5
55343,U,3000,5
55414,U,3000,5
55616,U,3000,5
55707,U,3000,5
55767,U,3000,5
56544,U,3000,5
56646,U,3000,5
57511,U,3000,5
57566,U,3000,5
58511,U,3000,5
59511,U,3000,5
60622,U,3000,5
60644,U,3000,5
61655,U,3000,5
62066,U,3000,5
64066,U,3000,5
64454,U,3000,5
64655,U,3000,5
65515,U,3000,5
65545,U,3000,5
65575,U,3000,5
65611,U,3000,5
65644,U,3000,5
65677,U,3000,5
66064,U,3000,5
66202,U,3000,5
66404,U,3000,5
66515,U,3000,5
66575,U,3000,5
66717,U,3000,5
67655,U,3000,5
67717,U,3000,5
67757,U,3000,5
68677,U,3000,5
68878,U,3000,5
72711,U,3000,5
73077,U,3000,5
74711,U,3000,5
75077,U,3000,5
75565,U,3000,5
75711,U,3000,5
75766,U,3000,5
76616,U,3000,5
76755,U,3000,5
77079,U,3000,5
77181,U,3000,5
77202,U,3000,5
77303,U,3000,5
77404,U,3000,5
78799,U,3000,5
78868,U,3000,5
79788,U,3000,5
82811,U,3000,5
83811,U,3000,5
84811,U,3000,5
85088,U,3000,5
85811,U,3000,5
86811,U,3000,5
86877,U,3000,5
87767,U,3000,5
87797,U,3000,5
87811,U,3000,5
88191,U,3000,5
88202,U,3000,5
88303,U,3000,5
88505,U,3000,5
88717,U,3000,5
88780,U,3000,5
88919,U,3000,5
97099,U,3000,5
97988,U,3000,5
99094,U,3000,5
99303,U,3000,5
99404,U,3000,5
99505,U,3000,5
99707,U,3000,5
34303,V,3000,5
44054,V,3000,5
33203,W,3000,5
40445,W,3000,5
44054,W,3000,5
44504,W,3000,5
45404,W,3000,5
54044,W,3000,5
54404,W,3000,5
54505,W,3000,5
55405,W,3000,5
56505,W,3000,5
66506,W,3000,5
67606,W,3000,5
30434,X,3000,5
31143,X,3000,5
31334,X,3000,5
33143,X,3000,5
33413,X,3000,5
33431,X,3000,5
33543,X,3000,5
34113,X,3000,5
34304,X,3000,5
34331,X,3000,5
34403,X,3000,5
35030,X,3000,5
36030,X,3000,5
37030,X,3000,5
38030,X,3000,5
39030,X,3000,5
40343,X,3000,5
40545,X,3000,5
40554,X,3000,5
41154,X,3000,5
41321,X,3000,5
41443,X,3000,5
43114,X,3000,5
43304,X,3000,5
43403,X,3000,5
44143,X,3000,5
44314,X,3000,5
44324,X,3000,5
44341,X,3000,5
44354,X,3000,5
44514,X,3000,5
44541,X,3000,5
44546,X,3000,5
44645,X,3000,5
45114,X,3000,5
45405,X,3000,5
45441,X,3000,5
45504,X,3000,5
46040,X,3000,5
47040,X,3000,5
48040,X,3000,5
49040,X,3000,5
50445,X,3000,5
50454,X,3000,5
50530,X,3000,5
50656,X,3000,5
50665,X,3000,5
51145,X,3000,5
51165,X,3000,5
53050,X,3000,5
54115,X,3000,5
54405,X,3000,5
54504,X,3000,5
54551,X,3000,5
55154,X,3000,5
55165,X,3000,5
55354,X,3000,5
55415,X,3000,5
55435,X,3000,5
55453,X,3000,5
55465,X,3000,5
55615,X,3000,5
55645,X,3000,5
55651,X,3000,5
55654,X,3000,5
55657,X,3000,5
55675,X,3000,5
55765,X,3000,5
56115,X,3000,5
56506,X,3000,5
56551,X,3000,5
56554,X,3000,5
56605,X,3000,5
57050,X,3000,5
58050,X,3000,5
59050,X,3000,5
60363,X,3000,5
60565,X,3000,5
60620,X,3000,5
60630,X,3000,5
60767,X,3000,5
61156,X,3000,5
61665,X,3000,5
61667,X,3000,5
61696,X,3000,5
63161,X,3000,5
63616,X,3000,5
65116,X,3000,5
65605,X,3000,5
65661,X,3000,5
66156,X,3000,5
66163,X,3000,5
66165,X,3000,5
66176,X,3000,5
66196,X,3000,5
66261,X,3000,5
66306,X,3000,5
66361,X,3000,5
66456,X,3000,5
66516,X,3000,5
66546,X,3000,5
66561,X,3000,5
66706,X,3000,5
66716,X,3000,5
66761,X,3000,5
66876,X,3000,5
66916,X,3000,5
67089,X,3000,5
67116,X,3000,5
67661,X,3000,5
67706,X,3000,5
70667,X,3000,5
70720,X,3000,5
70730,X,3000,5
71776,X,3000,5
71778,X,3000,5
76117,X,3000,5
76607,X,3000,5
76771,X,3000,5
76778,X,3000,5
77167,X,3000,5
77576,X,3000,5
77617,X,3000,5
77817,X,3000,5
77871,X,3000,5
77897,X,3000,5
78117,X,3000,5
78707,X,3000,5
78771,X,3000,5
78779,X,3000,5
78809,X,3000,5
79070,X,3000,5
79789,X,3000,5
81198,X,3000,5
81898,X,3000,5
82080,X,3000,5
83080,X,3000,5
84080,X,3000,5
86887,X,3000,5
87118,X,3000,5
87177,X,3000,5
87708,X,3000,5
87808,X,3000,5
87818,X,3000,5
88178,X,3000,5
88198,X,3000,5
88718,X,3000,5
88781,X,3000,5
88798,X,3000,5
88978,X,3000,5
89199,X,3000,5
89818,X,3000,5
89881,X,3000,5
89908,X,3000,5
91969,X,3000,5
92090,X,3000,5
93090,X,3000,5
94090,X,3000,5
95090,X,3000,5
96919,X,3000,5
97090,X,3000,5
97889,X,3000,5
98076,X,3000,5
98809,X,3000,5
98919,X,3000,5
98991,X,3000,5
99691,X,3000,5
99798,X,3000,5
99879,X,3000,5
49942,N,2600,5
44535,O,2600,5
44616,O,2600,5
44656,O,2600,5
55171,O,2600,5
66414,O,2600,5
88151,O,2600,5
12144,P,2600,5
13188,P,2600,5
14166,P,2600,5
14177,P,2600,5
14188,P,2600,5
14199,P,2600,5
16122,P,2600,5
16133,P,2600,5
16144,P,2600,5
17133,P,2600,5
17144,P,2600,5
17199,P,2600,5
18144,P,2600,5
18155,P,2600,5
18166,P,2600,5
19122,P,2600,5
19144,P,2600,5
19155,P,2600,5
21255,P,2600,5
21266,P,2600,5
21277,P,2600,5
21288,P,2600,5
22720,P,2600,5
31355,P,2600,5
31366,P,2600,5
31388,P,2600,5
31399,P,2600,5
37717,P,2600,5
39919,P,2600,5
41422,P,2600,5
41466,P,2600,5
41477,P,2600,5
41488,P,2600,5
44616,P,2600,5
44740,P,2600,5
44818,P,2600,5
46616,P,2600,5
49919,P,2600,5
51577,P,2600,5
51599,P,2600,5
55767,P,2600,5
61622,P,2600,5
61644,P,2600,5
66260,P,2600,5
66414,P,2600,5
71733,P,2600,5
71744,P,2600,5
71799,P,2600,5
74414,P,2600,5
75515,P,2600,5
77414,P,2600,5
81833,P,2600,5
81844,P,2600,5
81855,P,2600,5
82212,P,2600,5
85515,P,2600,5
91922,P,2600,5
91933,P,2600,5
94414,P,2600,5
99515,P,2600,5
22717,Q,2600,5
22720,Q,2600,5
40464,Q,2600,5
44121,Q,2600,5
44161,Q,2600,5
44535,Q,2600,5
44656,Q,2600,5
44717,Q,2600,5
44740,Q,2600,5
44818,Q,2600,5
44940,Q,2600,5
46044,Q,2600,5
55464,Q,2600,5
66260,Q,2600,5
66313,Q,2600,5
66414,Q,2600,5
66454,Q,2600,5
77141,Q,2600,5
88212,Q,2600,5
33979,R,2600,5
22620,T,2600,5
33063,T,2600,5
33161,T,2600,5
44161,T,2600,5
44535,T,2600,5
44616,T,2600,5
44656,T,2600,5
