,code,number,price,city
0,3,344,"229,000 AED",uae_sharjah
1,U,1313,"109,000 AED",duabi_new
2,H,3222,"72,000 AED",duabi_new
3,3,4441,"38,000 AED",uae_sharjah
4,3,7776,"38,000 AED",uae_sharjah
5,3,77779,"38,000 AED",uae_sharjah
6,3,66665,"37,000 AED",uae_sharjah
7,3,5554,"36,000 AED",uae_sharjah
8,3,5777,"36,000 AED",uae_sharjah
9,3,59999,"36,000 AED",uae_sharjah
10,3,6665,"36,000 AED",uae_sharjah
11,3,68888,"36,000 AED",uae_sharjah
12,3,75555,"36,000 AED",uae_sharjah
13,3,7666,"36,000 AED",uae_sharjah
14,3,88885,"36,000 AED",uae_sharjah
15,3,99997,"36,000 AED",uae_sharjah
16,3,4446,"33,000 AED",uae_sharjah
17,3,4999,"33,000 AED",uae_sharjah
18,3,5552,"33,000 AED",uae_sharjah
19,3,5557,"33,000 AED",uae_sharjah
20,3,7555,"33,000 AED",uae_sharjah
21,3,77700,"33,000 AED",uae_sharjah
22,3,8555,"33,000 AED",uae_sharjah
23,3,9995,"33,000 AED",uae_sharjah
24,3,44400,"29,000 AED",uae_sharjah
25,3,5300,"24,000 AED",uae_sharjah
26,3,7300,"24,000 AED",uae_sharjah
27,P,30033,"24,000 AED",duabi_new
28,L,7765,"17,500 AED",duabi_new
29,U,8876,"17,500 AED",duabi_new
30,O,1146,"16,500 AED",duabi_new
31,E,2744,"12,900 AED",duabi_new
32,L,22828,"12,900 AED",duabi_new
33,R,5546,"12,900 AED",duabi_new
34,3,51151,"12,500 AED",uae_sharjah
35,Q,2633,"12,500 AED",duabi_new
36,Q,11189,"11,900 AED",duabi_new
37,3,55445,"11,500 AED",uae_sharjah
38,3,66776,"10,900 AED",uae_sharjah
39,3,88778,"10,900 AED",uae_sharjah
40,F,6586,"10,900 AED",duabi_new
41,H,40333,"10,900 AED",duabi_new
42,J,6376,"10,900 AED",duabi_new
43,L,40333,"10,900 AED",duabi_new
44,N,40333,"10,900 AED",duabi_new
45,P,40333,"10,900 AED",duabi_new
46,3,1143,"10,500 AED",uae_sharjah
47,3,1167,"9,900 AED",uae_sharjah
48,3,1178,"9,900 AED",uae_sharjah
49,3,1189,"9,900 AED",uae_sharjah
50,3,2102,"9,900 AED",uae_sharjah
51,3,2132,"9,900 AED",uae_sharjah
52,3,4101,"9,900 AED",uae_sharjah
53,3,42244,"9,900 AED",uae_sharjah
54,3,57557,"9,900 AED",uae_sharjah
55,3,59959,"9,900 AED",uae_sharjah
56,3,64464,"9,900 AED",uae_sharjah
57,3,75575,"9,900 AED",uae_sharjah
58,3,8171,"9,900 AED",uae_sharjah
59,D,45045,"9,900 AED",duabi_new
60,Q,41041,"9,900 AED",duabi_new
61,I,33342,"9,500 AED",duabi_new
62,J,66640,"9,500 AED",duabi_new
63,H,8009,"8,900 AED",ajman_plate
64,K,4030,"7,900 AED",ajman_plate
65,K,5060,"7,900 AED",ajman_plate
66,O,33367,"7,900 AED",duabi_new
67,T,23200,"7,900 AED",duabi_new
68,P,28080,"7,500 AED",duabi_new
69,F,44400,"6,900 AED",oaq_plate
70,H,1617,"6,900 AED",ajman_plate
71,L,40540,"6,900 AED",duabi_new
72,O,15451,"6,900 AED",duabi_new
73,3,53111,"6,500 AED",uae_sharjah
74,3,96111,"6,500 AED",uae_sharjah
75,H,17717,"6,500 AED",ajman_plate
76,K,31331,"6,500 AED",ajman_plate
77,U,14541,"6,500 AED",duabi_new
78,H,17711,"5,900 AED",ajman_plate
79,Q,18481,"5,900 AED",duabi_new
80,S,21331,"5,900 AED",duabi_new
81,S,33114,"5,900 AED",duabi_new
82,S,34411,"5,900 AED",duabi_new
83,S,44113,"5,900 AED",duabi_new
84,S,51133,"5,900 AED",duabi_new
85,S,55114,"5,900 AED",duabi_new
86,S,55411,"5,900 AED",duabi_new
87,S,66113,"5,900 AED",duabi_new
88,S,66115,"5,900 AED",duabi_new
89,S,66445,"5,900 AED",duabi_new
90,S,76611,"5,900 AED",duabi_new
91,S,88922,"5,900 AED",duabi_new
92,U,90110,"5,900 AED",duabi_new
93,S,44336,"5,500 AED",duabi_new
94,S,44338,"5,500 AED",duabi_new
95,S,51221,"5,500 AED",duabi_new
96,S,54354,"5,500 AED",duabi_new
97,S,66772,"5,500 AED",duabi_new
98,S,66773,"5,500 AED",duabi_new
99,P,50551,"4,900 AED",duabi_new
100,P,89944,"4,900 AED",duabi_new
101,S,14911,"4,900 AED",duabi_new
102,S,51154,"4,900 AED",duabi_new
103,U,60990,"4,900 AED",duabi_new
104,D,90102,"4,500 AED",duabi_new
105,J,65757,"4,500 AED",duabi_new
106,P,11448,"4,500 AED",duabi_new
107,P,55118,"4,500 AED",duabi_new
108,S,14418,"4,500 AED",duabi_new
109,S,31531,"4,500 AED",duabi_new
110,S,39119,"4,500 AED",duabi_new
111,S,41661,"4,500 AED",duabi_new
112,S,71471,"4,500 AED",duabi_new
113,S,83113,"4,500 AED",duabi_new
114,E,30107,"4,000 AED",duabi_new
115,S,49941,"4,000 AED",duabi_new
116,S,65562,"4,000 AED",duabi_new
117,S,65563,"4,000 AED",duabi_new
118,U,22131,"4,000 AED",duabi_new
119,U,31322,"4,000 AED",duabi_new
120,U,40054,"4,000 AED",duabi_new
121,X,34404,"4,000 AED",duabi_new
122,J,46262,"3,900 AED",duabi_new
123,P,85580,"3,900 AED",duabi_new
124,Q,31731,"3,900 AED",duabi_new
125,E,21191,"3,500 AED",duabi_new
126,F,70905,"3,500 AED",duabi_new
127,L,99040,"3,500 AED",duabi_new
128,P,60105,"3,500 AED",duabi_new
129,T,20232,"3,500 AED",duabi_new
130,U,40433,"3,500 AED",duabi_new
