Plates,Number,Code,Price
"274 I 215,000AED",274,I,"215,000AED"
"78888 H 72,000AED",78888,H,"72,000AED"
"6777 K 72,000AED",6777,K,"72,000AED"
"3334 R 72,000AED",3334,R,"72,000AED"
"22232 N 41,000AED",22232,N,"41,000AED"
"80088 L 25,000AED",80088,L,"25,000AED"
"20220 K 24,000AED",20220,K,"24,000AED"
"22002 K 24,000AED",22002,K,"24,000AED"
"30033 P 24,000AED",30033,P,"24,000AED"
"1160 U 21,000AED",1160,U,"21,000AED"
"2759 A 19,900AED",2759,A,"19,900AED"
"7765 L 17,500AED",7765,L,"17,500AED"
"8876 U 17,500AED",8876,U,"17,500AED"
"1187 Q 16,900AED",1187,Q,"16,900AED"
"5066 L 16,500AED",5066,L,"16,500AED"
"9891 M 16,500AED",9891,M,"16,500AED"
"1146 O 16,500AED",1146,O,"16,500AED"
"7699 E 13,900AED",7699,E,"13,900AED"
"9069 Q 13,900AED",9069,Q,"13,900AED"
"24244 O 13,500AED",24244,O,"13,500AED"
"6619 P 13,500AED",6619,P,"13,500AED"
"7761 R 13,500AED",7761,R,"13,500AED"
"22424 L 12,900AED",22424,L,"12,900AED"
"22828 L 12,900AED",22828,L,"12,900AED"
"6762 N 12,900AED",6762,N,"12,900AED"
"6933 O 12,900AED",6933,O,"12,900AED"
"5546 R 12,900AED",5546,R,"12,900AED"
"5564 R 12,900AED",5564,R,"12,900AED"
"5576 R 12,900AED",5576,R,"12,900AED"
"5622 K 12,500AED",5622,K,"12,500AED"
"6232 K 12,500AED",6232,K,"12,500AED"
"2633 Q 12,500AED",2633,Q,"12,500AED"
"7858 U 12,500AED",7858,U,"12,500AED"
"5564 L 11,900AED",5564,L,"11,900AED"
"99918 M 11,900AED",99918,M,"11,900AED"
"9691 Q 11,900AED",9691,Q,"11,900AED"
"9691 T 11,900AED",9691,T,"11,900AED"
"6376 J 10,900AED",6376,J,"10,900AED"
"33342 I 9,500AED",33342,I,"9,500AED"
"66640 J 9,500AED",66640,J,"9,500AED"
"67555 K 9,500AED",67555,K,"9,500AED"
"34441 L 9,500AED",34441,L,"9,500AED"
"91122 S 8,500AED",91122,S,"8,500AED"
"63030 J 7,900AED",63030,J,"7,900AED"
"76060 K 7,900AED",76060,K,"7,900AED"
"33367 O 7,900AED",33367,O,"7,900AED"
"20208 R 7,900AED",20208,R,"7,900AED"
"99022 S 7,900AED",99022,S,"7,900AED"
"23200 T 7,900AED",23200,T,"7,900AED"
"67070 U 7,900AED",67070,U,"7,900AED"
"7932 S 6,900AED",7932,S,"6,900AED"
"9476 S 6,900AED",9476,S,"6,900AED"
"16700 M 6,500AED",16700,M,"6,500AED"
"14341 P 6,500AED",14341,P,"6,500AED"
"14341 T 6,500AED",14341,T,"6,500AED"
"14541 T 6,500AED",14541,T,"6,500AED"
"14341 U 6,500AED",14341,U,"6,500AED"
"14541 U 6,500AED",14541,U,"6,500AED"
"18481 O 5,900AED",18481,O,"5,900AED"
"12621 Q 5,900AED",12621,Q,"5,900AED"
"13531 Q 5,900AED",13531,Q,"5,900AED"
"18481 Q 5,900AED",18481,Q,"5,900AED"
"13223 S 5,900AED",13223,S,"5,900AED"
"15533 S 5,900AED",15533,S,"5,900AED"
"21331 S 5,900AED",21331,S,"5,900AED"
"33114 S 5,900AED",33114,S,"5,900AED"
"33911 S 5,900AED",33911,S,"5,900AED"
"34411 S 5,900AED",34411,S,"5,900AED"
"43311 S 5,900AED",43311,S,"5,900AED"
"44113 S 5,900AED",44113,S,"5,900AED"
"51133 S 5,900AED",51133,S,"5,900AED"
"54411 S 5,900AED",54411,S,"5,900AED"
"55114 S 5,900AED",55114,S,"5,900AED"
"55411 S 5,900AED",55411,S,"5,900AED"
"66112 S 5,900AED",66112,S,"5,900AED"
"66113 S 5,900AED",66113,S,"5,900AED"
"66115 S 5,900AED",66115,S,"5,900AED"
"66445 S 5,900AED",66445,S,"5,900AED"
"71155 S 5,900AED",71155,S,"5,900AED"
"71166 S 5,900AED",71166,S,"5,900AED"
"76611 S 5,900AED",76611,S,"5,900AED"
"12621 U 5,900AED",12621,U,"5,900AED"
"55626 B 5,500AED",55626,B,"5,500AED"
"33226 S 5,500AED",33226,S,"5,500AED"
"33229 S 5,500AED",33229,S,"5,500AED"
"44336 S 5,500AED",44336,S,"5,500AED"
"44338 S 5,500AED",44338,S,"5,500AED"
"51221 S 5,500AED",51221,S,"5,500AED"
"54354 S 5,500AED",54354,S,"5,500AED"
"66772 S 5,500AED",66772,S,"5,500AED"
"66773 S 5,500AED",66773,S,"5,500AED"
"66774 S 5,500AED",66774,S,"5,500AED"
"60990 U 5,500AED",60990,U,"5,500AED"
"12232 T 5,000AED",12232,T,"5,000AED"
"88280 M 4,900AED",88280,M,"4,900AED"
"14911 S 4,900AED",14911,S,"4,900AED"
"24114 S 4,900AED",24114,S,"4,900AED"
"51154 S 4,900AED",51154,S,"4,900AED"
"80488 S 4,900AED",80488,S,"4,900AED"
"31815 A 4,500AED",31815,A,"4,500AED"
"90102 D 4,500AED",90102,D,"4,500AED"
"13221 J 4,500AED",13221,J,"4,500AED"
"65757 J 4,500AED",65757,J,"4,500AED"
"11448 P 4,500AED",11448,P,"4,500AED"
"55118 P 4,500AED",55118,P,"4,500AED"
"35151 Q 4,500AED",35151,Q,"4,500AED"
"14418 S 4,500AED",14418,S,"4,500AED"
"31531 S 4,500AED",31531,S,"4,500AED"
"36116 S 4,500AED",36116,S,"4,500AED"
"38118 S 4,500AED",38118,S,"4,500AED"
